Station Code,Station Name,Latitude,Longitude
A19K,"Wainwright, AK, USA",70.2043,-161.0713
A21K,"Barrow, AK, USA",71.3221,-156.6175
A22K,"Sinclair Lake, AK, USA",71.0033,-154.9742
ANM,"Anvil Mountain, AK, USA",64.5646,-165.3732
ATKA,"Atka Island, AK, USA",52.201599,-174.197495
B18K,"Kokolik River, AK, USA",69.3641,-161.8016
B20K,"Meade River, AK, USA",70.0079,-157.1599
B22K,"Teshekpuk Lake, AK, USA",70.34,-153.4196
BAE,"Barry Arm East, AK, USA",61.1319,-148.1234
BAGL,"Bagley Icefield, AK, USA",60.489601,-142.091507
BAL,"Baldy Mountain, AK, USA",61.035999,-142.346207
BARK,"Barkley Ridge, AK, USA",60.403,-142.493103
BARN,"Barnard Glacier, AK, USA",61.059502,-141.662201
BAT,"Barry Arm Top, AK, USA",61.1416,-148.1751
BAW,"Barry Arm West, AK, USA",61.1501,-148.1501
BCP,"Bancas Point, AK, USA",59.9534,-139.6369
BERG,"Berg Lake, AK, USA",60.3932,-143.700394
BESE,"Bessie Mountain, AK, USA",58.5792,-134.8559
BGLC,"Bering Glacier BLM Camp, AK, USA",60.1205,-143.2841
BMR,"Bremner River, AK, USA",60.9677,-144.6051
BPAW,"Bear Paw Mountain, AK, USA",64.099701,-150.987305
BRLK,"Bradley Lake, AK, USA",59.7511,-150.9063
BRSE,"Bradley Lake South, AK, USA",59.741699,-150.741394
BWN,"Browne, AK, USA",64.173203,-149.299103
C16K,"Lisburne Hills, AK, USA",68.2746,-165.3436
C18K,"Utukok River, AK, USA",68.6483,-161.1943
C19K,"Lookout Ridge, AK, USA",69.1049,-159.5874
C21K,"Knifeblade Ridge, AK, USA",69.1565,-154.7833
C23K,"Itkillik River, AK, USA",69.836,-150.6126
C26K,"Camden Bay, AK, USA",69.9175,-144.9122
C27K,"Jago River, AK, USA",69.626,-143.7114
CAPN,"Captain Cook Nikiski, AK, USA",60.768299,-151.1539
CAST,"Castle Rocks, AK, USA",63.4188,-152.084396
CCB,"Clear Creek Butte, AK, USA",64.6453,-147.8053
CDVT,"Cordova Airport, AK, USA",60.493599,-145.469604
CHI,"Chirikof Island, AK, USA",55.8218,-155.6225
CHN,"Chernabura Island, AK, USA",54.831001,-159.589493
CHUM,"Lake Minchumina, AK, USA",63.8827,-152.3152
CHX,"Chaix Hills, AK, USA",60.063099,-141.117798
CNP,"China Poot, AK, USA",59.5251,-151.2373
COLD,"Coldfoot, AK, USA",67.2269,-150.2038
CRQ,"Cirque, AK, USA",60.7523,-143.092606
CTG,"Chitna Glacier, AK, USA",60.9649,-141.3401
CUT,"Chulitna, AK, USA",62.4058,-150.2625
